Category,ItemId,Plan,Super Category,Volume
Sub Category 13,Product 1242,Region 1,Category 2,2020.67
Sub Category 13,Product 1246,Region 1,Category 2,102.67
Sub Category 13,Product 1253,Region 1,Category 2,1.67
Sub Category 13,Product 1251,Region 1,Category 2,41.33
Sub Category 13,Product 3436,Region 1,Category 2,7
Sub Category 13,Product 1272,Region 1,Category 2,9.33
Sub Category 13,Product 1270,Region 1,Category 2,22.67
Sub Category 13,Product 1269,Region 1,Category 2,14.89
Sub Category 13,Product 1268,Region 1,Category 2,11.22
Sub Category 13,Product 1216,Region 1,Category 2,16.33
Sub Category 13,Product 1168,Region 1,Category 2,34
Sub Category 13,Product 980,Region 1,Category 2,73.33
Sub Category 13,Product 4150,Region 1,Category 2,256
Sub Category 13,Product 2855,Region 1,Category 2,985
Sub Category 13,Product 3439,Region 1,Category 2,26.67
Sub Category 13,Product 7439,Region 1,Category 2,9.33
Sub Category 13,Product 3142,Region 1,Category 2,68
Sub Category 13,Product 3440,Region 1,Category 2,29.33
Sub Category 13,Product 1373,Region 1,Category 2,4.44
Sub Category 13,Product 447,Region 1,Category 2,25.67
Sub Category 13,Product 444,Region 1,Category 2,17.27
Sub Category 13,Product 454,Region 1,Category 2,237.22
Sub Category 13,Product 452,Region 1,Category 2,9.33
Sub Category 13,Product 437,Region 1,Category 2,32.89
Sub Category 13,Product 438,Region 1,Category 2,71.33
Sub Category 13,Product 455,Region 1,Category 2,308.67
Sub Category 13,Product 1501,Region 1,Category 2,28
Sub Category 13,Product 1500,Region 1,Category 2,10.5
Sub Category 13,Product 450,Region 1,Category 2,7.47
Sub Category 13,Product 6786,Region 1,Category 2,1.24
Sub Category 13,Product 3352,Region 1,Category 2,2.49
Sub Category 13,Product 3353,Region 1,Category 2,6.67
Sub Category 13,Product 3354,Region 1,Category 2,10.67
Sub Category 13,Product 1502,Region 1,Category 2,3.73
Sub Category 13,Product 3967,Region 1,Category 2,42
Sub Category 13,Product 7177,Region 1,Category 2,89.33
Sub Category 13,Product 7178,Region 1,Category 2,40
Sub Category 13,Product 7179,Region 1,Category 2,55.33
Sub Category 13,Product 7180,Region 1,Category 2,60.67
Sub Category 13,Product 2323,Region 1,Category 2,11.67
Sub Category 13,Product 3077,Region 1,Category 2,1.56
Sub Category 13,Product 2348,Region 1,Category 2,16
Sub Category 13,Product 1849,Region 1,Category 2,12.67
Sub Category 14,Product 3737,Region 1,Category 2,114
Sub Category 14,Product 2463,Region 1,Category 2,5
Sub Category 14,Product 2478,Region 1,Category 2,15
Sub Category 14,Product 2472,Region 1,Category 2,26.67
Sub Category 14,Product 2477,Region 1,Category 2,0.08
Sub Category 14,Product 2473,Region 1,Category 2,20
Sub Category 14,Product 2467,Region 1,Category 2,76.08
Sub Category 14,Product 3430,Region 1,Category 2,150
Sub Category 14,Product 2466,Region 1,Category 2,33.33
Sub Category 14,Product 3223,Region 1,Category 2,1530.22
Sub Category 14,Product 3224,Region 1,Category 2,87
Sub Category 14,Product 3227,Region 1,Category 2,55.75
Sub Category 14,Product 3214,Region 1,Category 2,4.43
Sub Category 14,Product 3248,Region 1,Category 2,325.11
